time,latitude,longitude,depth_km,magnitude,magnitude_type,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp
2011-09-14T07:03:51.000000Z,-32.7,-71.8,37.0,5.85,Mwc,3.82e+17,4.46e+16,-4.26e+17,-5.99e+16,-6.39e+17,-1.95e+16
2012-01-09T21:30:51.000000Z,-32.57,-71.59,21.4,5.23,Mwc,5.78e+16,5900000000000000.0,-6.37e+16,1300000000000000.0,-6.14e+16,-6400000000000000.0
2012-03-16T23:31:54.000000Z,-33.61,-72.04,46.2,5.06,Mwc,3.57e+16,5520000000000000.0,-4.12e+16,2610000000000000.0,-3.11e+16,1240000000000000.0
2012-03-24T07:28:33.000000Z,-33.05,-71.06,68.8,5.12,Mwc,4510000000000000.0,-4.12e+16,3.67e+16,-1.06e+16,2.41e+16,3.87e+16
2012-04-03T02:11:03.000000Z,-33.85,-72.76,31.6,5.12,Mwc,4.26e+16,-1210000000000000.0,-4.14e+16,-9520000000000000.0,-4.25e+16,-5730000000000000.0
2012-04-17T03:50:15.600000Z,-32.62,-71.36,29.0,6.68,Mwc,9.7e+18,2.2e+17,-9.93e+18,9.1e+17,-9.08e+18,2.7e+17
2012-10-11T17:22:09.900000Z,-32.87,-70.31,81.8,5.61,Mwc,-500000000000000.0,-1.11e+17,1.11e+17,-4.07e+16,2.81e+16,3.1e+17
2012-11-19T16:45:50.400000Z,-33.93,-72.17,11.2,5.08,Mwc,3.82e+16,-530000000000000.0,-3.77e+16,-4730000000000000.0,-3.69e+16,1700000000000000.0
2012-11-20T16:23:24.800000Z,-33.92,-72.25,15.7,5.42,Mwc,1e+17,7100000000000000.0,-1.07e+17,-1.01e+16,-1.32e+17,-2.12e+16
2012-11-21T18:16:38.500000Z,-33.93,-72.1,19.3,5.24,Mwc,5.93e+16,3400000000000000.0,-6.27e+16,1.89e+16,-6.4e+16,-5000000000000000.0
2012-11-21T21:36:22.700000Z,-33.94,-71.87,18.0,5.88,Mwc,5.08e+17,3.48e+16,-5.43e+17,1.4e+17,-6.23e+17,2.63e+16
2012-11-21T22:52:29.400000Z,-33.92,-71.99,16.0,5.11,Mwc,5.19e+16,670000000000000.0,-5.26e+16,5020000000000000.0,-2.62e+16,-3600000000000000.0
2013-02-10T19:54:30.000000Z,-33.46,-72.1,46.5,5.45,Mwc,1.43e+17,-1.07e+16,-1.32e+17,1.66e+16,-1.23e+17,-3300000000000000.0
2013-02-18T10:00:11.100000Z,-33.95,-72.05,25.4,5.44,Mwc,1.02e+17,4900000000000000.0,-1.06e+17,500000000000000.0,-1.46e+17,-4900000000000000.0
2013-06-19T21:29:11.500000Z,-32.66,-70.04,104.3,5.23,Mwc,-7.98e+16,5500000000000000.0,7.43e+16,-1.89e+16,3500000000000000.0,3.99e+16
2013-11-10T02:01:58.800000Z,-33.54,-72.03,34.8,5.17,Mwc,4.89e+16,2710000000000000.0,-5.16e+16,-6700000000000000.0,-4.81e+16,-1.36e+16
2013-11-29T05:21:29.400000Z,-33.38,-72.27,8.1,4.99,Mwc,3.23e+16,-2270000000000000.0,-3e+16,-5240000000000000.0,-2.03e+16,-8100000000000000.0
2013-12-07T09:23:49.000000Z,-33.92,-72.55,44.5,5.05,Mwc,2.62e+16,-1800000000000000.0,-2.44e+16,-8120000000000000.0,-3.82e+16,-5590000000000000.0
2014-03-03T03:17:47.000000Z,-33.06,-71.94,31.7,5.24,Mwc,6.97e+16,-5500000000000000.0,-6.42e+16,6700000000000000.0,-6.21e+16,600000000000000.0
2014-03-04T10:51:15.600000Z,-33.6,-71.96,20.0,5.79,Mwc,4.08e+17,1.22e+16,-4.2e+17,1.86e+16,-4.4e+17,-5.63e+16
2014-03-06T04:37:05.000000Z,-33.33,-71.28,59.7,5.4,Mwc,4.53e+16,-9.88e+16,5.35e+16,-2.13e+16,6.57e+16,1.2e+17
2014-04-05T02:22:39.000000Z,-32.8,-71.58,40.2,5.59,Mwc,2.32e+17,2.55e+16,-2.57e+17,-4.95e+16,-1.65e+17,-3.36e+16
2014-04-30T18:00:55.000000Z,-32.72,-71.75,21.3,5.21,Mwc,6.75e+16,4000000000000000.0,-7.15e+16,-600000000000000.0,-4.37e+16,1200000000000000.0
2014-05-30T22:06:19.400000Z,-33.54,-72.14,19.1,5.05,Mwc,4.26e+16,-2380000000000000.0,-4.02e+16,-4100000000000000.0,-2.32e+16,-1570000000000000.0
2014-07-13T03:16:52.000000Z,-32.95,-71.25,44.1,4.81,Mwc,1.59e+16,3370000000000000.0,-1.93e+16,-4650000000000000.0,7200000000000000.0,-5320000000000000.0
2014-08-08T04:10:15.000000Z,-33.78,-72.2,16.5,5.25,Mwc,7.84e+16,-3000000000000000.0,-7.54e+16,-9700000000000000.0,-5.53e+16,-9000000000000000.0
2014-08-23T22:32:23.300000Z,-32.69,-71.44,32.0,6.42,Mwc,4.07e+18,3.16e+17,-4.39e+18,-1.8e+17,-3.4e+18,-3.6e+17
2014-10-23T23:38:52.300000Z,-33.99,-72.28,17.3,5.25,Mwc,4.35e+16,-2300000000000000.0,-4.12e+16,6400000000000000.0,-8.41e+16,200000000000000.0
2014-10-24T07:16:41.000000Z,-34.0,-72.24,25.3,4.91,Mwc,2.19e+16,-5770000000000000.0,-1.61e+16,3290000000000000.0,-2.15e+16,-710000000000000.0
2015-01-18T03:59:59.000000Z,-32.7,-71.7,25.8,5.16,Mwc,3.11e+16,970000000000000.0,-3.2e+16,2.58e+16,-5.47e+16,-640000000000000.0
2015-02-17T14:35:54.000000Z,-32.38,-71.01,72.6,5.38,Mwc,4200000000000000.0,-9.74e+16,9.33e+16,1.51e+16,3.29e+16,1.09e+17
2015-06-02T10:32:45.700000Z,-33.94,-72.43,10.9,5.12,Mwc,4.38e+16,290000000000000.0,-4.41e+16,-2940000000000000.0,-3.99e+16,-1.47e+16
